"id","portail","module","route","type","libelle","source","composants","actions","permissions","politique_registre","defauts","responsable","exigence_design","methode","revue_statique","statut","test_ui","preuve_ui","baseline","version_source"
"ACT-00250794764e","CONSOMMATEUR_NON_RESOLU","TRANSVERSE_OU_ORPHELIN_A_QUALIFIER","","ACTION_JSX","{label}","src/pages/public/PublicLayout.tsx:127","src/pages/public/PublicLayout.tsx","{() => navigate(id)}","","Aucune association statique résolue; conserver dans le périmètre de qualification","NON_INSPECTE_EN_UI","Lot partagé : propriétaire à affecter par orchestrateur","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-00f9f19098c0","admin | dgmg | owner | sonasp","mining_sites","/artisan-sites","ACTION_JSX","Page précédente","src/pages/artisanal-sites/ArtisanalSitesOverview.tsx:709","src/pages/artisanal-sites/ArtisanalSitesOverview.tsx","{() => setPage((value) => Math.max(1, value - 1))}","src/pages/artisanal-sites/ArtisanalSitesOverview.tsx:142 canManageMiningRegistry(user)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot sites artisanaux","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-01337945ce2e","admin | customer | mine | owner | sonasp","sales","/payments/virtual","ACTION_JSX","Annuler","src/pages/payments/VirtualPaymentsPage.tsx:362","src/pages/payments/VirtualPaymentsPage.tsx","{() => setApprovalCandidate(null)}","src/pages/payments/VirtualPaymentsPage.tsx:110 canApprove(payment) | src/pages/payments/VirtualPaymentsPage.tsx:118 canApprove(payment) | src/pages/payments/VirtualPaymentsPage.tsx:272 canViewProof(payment) | src/pages/payments/VirtualPaymentsPage.tsx:279 canApprove(payment) | src/pages/payments/VirtualPaymentsPage.tsx:32 hasSensitiveCapability(user, CAPABILITIES.FINANCE_EXECUTE) | src/pages/payments/VirtualPaymentsPage.tsx:33 hasSensitiveCapability(user, CAPABILITIES.FINANCE_RECONCILE) | src/pages/payments/VirtualPaymentsPage.tsx:90 canViewProof(payment)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot ventes internationales et paiements","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-01b289f2161c","admin | dgmg | owner","artisan-minier","/artisan-minier/comptoirs/:id | /artisan-minier/comptoirs/:id/modifier | /artisan-minier/comptoirs/nouveau","ACTION_JSX","button","src/pages/collector/ComptoirForm.tsx:210","src/pages/collector/ComptoirForm.tsx","{() => onRemove(d)}","src/pages/collector/ComptoirForm.tsx:938 canManageMiningRegistry(user)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot artisans et affiliations","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-01b9cb0fa964","admin | mine | owner | sonasp","gold_purchases","/contrats/:id | /requisitions/:id","ACTION_JSX","Enregistrer","src/components/contrats/AnalysesTeneur.tsx:401","src/components/contrats/AnalysesTeneur.tsx","{() => void enregistrerResultat()}","","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot achats et contrats","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-01f0c35705d1","admin | airport | customer | factory | mine | owner | refinery | sonasp","international_markets","/fx-rates","ACTION_JSX","Analyse des taux de change","src/pages/prices/FxRatesPage.tsx:604","src/pages/prices/FxRatesPage.tsx","{() => setActiveTab('analysis')}","","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot international_markets","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-021cd5282c15","admin | owner | sonasp","dashboard","/dashboard/production-modern","ACTION_JSX","Ouvrir la production","src/pages/dashboards/ProductionDashboardModern.tsx:84","src/pages/dashboards/ProductionDashboardModern.tsx","{() => navigate('/production/daily')}","","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot pilotage national","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-02341978b860","admin | collector | comptoir | dgi | owner | sonasp","artisan_gold_market","/artisan-minier/ventes-or","ACTION_JSX","{isComptoir ? 'Nouvel achat' : 'Nouvelle vente'}","src/pages/artisan-minier/VentesOr.tsx:329","src/pages/artisan-minier/VentesOr.tsx","{() => navigate('/artisan-minier/ventes-or/nouvelle')}","src/pages/artisan-minier/VentesOr.tsx:133 isComptoirScopedUser(user) | src/pages/artisan-minier/VentesOr.tsx:134 isCollectorScopedUser(user)","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot marché artisanal et paiements","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-026812b80f5d","CONSOMMATEUR_NON_RESOLU","TRANSVERSE_OU_ORPHELIN_A_QUALIFIER","","ACTION_JSX","Assistance","src/pages/public/PublicLayout.tsx:240","src/pages/public/PublicLayout.tsx","","","Aucune association statique résolue; conserver dans le périmètre de qualification","NON_INSPECTE_EN_UI","Lot partagé : propriétaire à affecter par orchestrateur","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"ACT-0284dac59b0c","admin | mine | owner | sonasp","gold_purchases","/achats/comptes | /achats/comptes-paiements | /achats/demandes | /achats/reglements","ACTION_JSX","Annuler","src/pages/achats/DemandesAchatPage.tsx:338","src/pages/achats/DemandesAchatPage.tsx","{() => setReponse(null)}","","Hérite du contexte route candidat; conditions internes à relire; serveur non testé","NON_INSPECTE_EN_UI","Lot achats et contrats","Master §§7–14 et annexe A : champs/actions existants, erreurs explicites, contexte autorisé, responsive, persistance et audit indépendants","AST_JSX","DETECTION_AUTOMATIQUE_NON_REVUE; imports candidats ≠ visibilité prouvée","À INVENTORIER","NON EXÉCUTÉ","","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
