"id","lot","portails_candidats","routes","ecrans_ids","formulaire_id","composant","champ_ui","identifiant_DOM_baseline","cle_etat","origine","controle","condition_visibilite","objet_API_baseline","objet_API_candidat","table_colonne_expression","type_contraintes","valeur_initiale_normalisation","lecture_ecriture","rendu_detail_liste","ecart_baseline","restriction","sources_UI","sources_persistance","scenario_attendu","statut_revue","statut_saisie_ui","statut_persistance","statut_audit","version_observee","version_correction","preuve"
"CLI-CHAMP-001","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Raison sociale","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","name","UTILISATEUR","texte","Toujours, création et modification","baseCustomerData.name","save_customer_dossier.p_customer.name","public.customers.name","Requis, trim non vide","name: ''; trim","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Titre du détail et colonne Nom du client","Aucune association label/id explicite à la baseline; vérifier nom accessible et erreurs","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:330 | 83f8c74e:src/pages/customers/CustomerForm.tsx:52","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Raison sociale, enregistrer, lire colonne name, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-002","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Adresse électronique","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","email","UTILISATEUR","email","Toujours, création et modification","baseCustomerData.email","save_customer_dossier.p_customer.email","public.customers.email","Requis; regex sans espaces et avec domaine","email: ''; trim + minuscules","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Coordonnées du détail et colonne Adresse électronique","Tester espaces et majuscules; aucune longueur maximale ou unicité démontrée par la lecture du type","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:340 | 83f8c74e:src/pages/customers/CustomerForm.tsx:53","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Adresse électronique, enregistrer, lire colonne email, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-003","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Numéro de téléphone","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","phone","UTILISATEUR","texte","Toujours, création et modification","baseCustomerData.phone","save_customer_dossier.p_customer.phone","public.customers.phone","Requis UI; nullable dans le type SQL","phone: ''; trim","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Téléphone du détail; chargé dans la liste sans colonne affichée","Pas de validation internationale stricte existante à inventer","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:349 | 83f8c74e:src/pages/customers/CustomerForm.tsx:54","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Numéro de téléphone, enregistrer, lire colonne phone, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-004","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Personne à contacter","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","contactPerson","UTILISATEUR","texte","Toujours, création et modification","baseCustomerData.contact_person","save_customer_dossier.p_customer.contact_person","public.customers.contact_person","Requis UI; nullable dans le type SQL","contactPerson: ''; trim","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Coordonnées du détail","Vérifier accents et conservation après mise à jour","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:358 | 83f8c74e:src/pages/customers/CustomerForm.tsx:57","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Personne à contacter, enregistrer, lire colonne contact_person, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-005","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Pays","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","country","UTILISATEUR","liste COUNTRIES","Toujours, création et modification","baseCustomerData.country","save_customer_dossier.p_customer.country","public.customers.country","Requis UI; non nullable dans le type SQL","country: ''; Valeur COUNTRIES; trim dans RPC candidate","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Colonne Pays de la liste; valeur chargée mais non affichée dans le détail baseline","errors.country existe mais FormField Pays ne reçoit pas error={errors.country}","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:367 | 83f8c74e:src/pages/customers/CustomerForm.tsx:55","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Pays, enregistrer, lire colonne country, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-006","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Identifiant fiscal / numéro d’immatriculation","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","taxId","UTILISATEUR","texte","Toujours, création et modification","baseCustomerData.tax_id","save_customer_dossier.p_customer.tax_id","public.customers.tax_id","Facultatif; nullable SQL; aucune regex fiscale déclarée","taxId: ''; trim; vide envoyé chaîne vide","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Identifiant fiscal du détail","Un seul champ existant : ne pas scinder RCCM/IFU pour ce client export sans exigence","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:381 | 83f8c74e:src/pages/customers/CustomerForm.tsx:58","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Identifiant fiscal / numéro d’immatriculation, enregistrer, lire colonne tax_id, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-007","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Adresse","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","address","UTILISATEUR","texte long","Toujours, création et modification","baseCustomerData.address","save_customer_dossier.p_customer.address","public.customers.address","Requis UI; nullable SQL","address: ''; trim","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Adresse du détail; chargée par liste sans colonne","Vérifier adresse entière en responsive et après rechargement","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:389 | 83f8c74e:src/pages/customers/CustomerForm.tsx:56","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Adresse, enregistrer, lire colonne address, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-008","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Conditions de paiement","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","paymentTerms","UTILISATEUR","liste","Toujours, création et modification","baseCustomerData.payment_terms","save_customer_dossier.p_customer.payment_terms","public.customers.payment_terms","Net 15/30/45/60 days ou Immediate proposés; aucune contrainte SQL de domaine observée","paymentTerms: 'Net 30 days'; Valeur conservée; libellé français au détail","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Détail : PAYMENT_TERM_LABELS ou valeur historique","Une ancienne valeur hors options doit rester visible et ne pas être effacée silencieusement; null remplacé par Net 30 à la baseline","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:398 | 83f8c74e:src/pages/customers/CustomerForm.tsx:59","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Conditions de paiement, enregistrer, lire colonne payment_terms, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-009","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Limite de crédit (USD)","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","creditLimit","UTILISATEUR","number; unité USD","Toujours, création et modification","baseCustomerData.credit_limit","save_customer_dossier.p_customer.credit_limit","public.customers.credit_limit","Nombre non négatif; nullable SQL; pas de step décimal explicite dans la baseline","creditLimit: '500000'; parseFloat; candidat exige JSON number ≥0","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Chargé dans le détail mais non affiché baseline","Écart : String(data.credit_limit || 500000) convertit un zéro enregistré en 500000; tester 0 et 1234.56","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:412 | 83f8c74e:src/pages/customers/CustomerForm.tsx:60","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Limite de crédit (USD), enregistrer, lire colonne credit_limit, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
"CLI-CHAMP-010","LOT-stakeholders/clients","SONASP gestionnaire; Owner; Admin selon module et autorisation serveur; Mine lecture seule","/customers/new | /customers/:id/edit | /customers/:id | /customers","ECR-57a476684b9a | ECR-90c316e4268e | ECR-4c59694d6d6f | ECR-fb78963058ff","FRM-d203fedbc345","src/pages/customers/CustomerForm.tsx","Statut","Pas de id/htmlFor métier explicite; Input génère un id mais FormField ne le connaît pas","status","UTILISATEUR","liste","Toujours, création et modification","baseCustomerData.status","save_customer_dossier.p_customer.status","public.customers.status","pending / active / inactive; SQL autorise aussi null","status: 'pending'; Valeur littérale","SELECT customers(id) → formulaire; INSERT/UPDATE baseline; RPC atomique candidate à tester","Badge détail et liste","Écart : statut absent présenté actif dans détail/liste; aide dit initialement En attente mais UI permet autres états; aucune synchronisation is_active démontrée","RLS customers/customer_banks : lecture authenticated, écritures snp_est_agent_sonasp(); nouvelle RPC exige également session active; effectivité NON TESTÉE","83f8c74e:src/pages/customers/CustomerForm.tsx:422 | 83f8c74e:src/pages/customers/CustomerForm.tsx:61","83f8c74e:src/pages/customers/CustomerForm.tsx:194 | 83f8c74e:src/types/database.ts:1345 | CANDIDAT_NON_APPLIQUE:supabase/migrations/20260907044811_enregistrer_dossier_client_atomique.sql:144","CLI-UI-001 puis CLI-UI-002; renseigner Statut, enregistrer, lire colonne status, détail, reload, modifier puis relire","REVUE_STATIQUE_BASELINE","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","83f8c74ea83c81a2734ef9e086c2edd211573ebe","migration candidate SHA256:0b87f4df5de4e59c7c7252550018c92d923d978f356289109c142b417c31cb0f; branche de travail non auditée","Lecture indépendante des quatre composants, types et migrations; aucun accès Auth/API/base/UI pour cette matrice"
