"id","portail","profil_role","contexte","compte_resolu","organisation","route","module","roles_registre","types_registre","capacites_registre_OR","lecture_seule_registre","national_registre","gardes_route_JSX","resultat_fonction_pure","statut_controle_serveur","statut_test_interface","statut_audit","preuve","sources","limite","baseline","version_source"
"DRT-0003f81d80d7","POR-dgi","dgi","MODULES_EXPLICITES_VIDES","dgi","dgi","/portail-comptoir/ventes-sonasp","portal-comptoir","comptoir | customer","comptoir","comptoir.manage","false","false","<ComptoirPortalGuard> | <ProtectedRoute>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:382 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00067bead47c","POR-sonasp","management","CAPACITES_EXPLICITES_VIDES","sonasp","sonasp","/artisan-sites/nouveau","mining_sites","admin | dgmg | owner","admin | dgmg | owner","","false","false","<ProtectedRoute allowedRoles={['admin', 'dgmg']}>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:754 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-000b6bb1187e","POR-customer","customer","TENANT_MINE_INCOHERENT","mine","sonasp","/refining/:id/process","refining","management | refinery","refinery | sonasp","","false","false","<ProtectedRoute allowedRoles={['refinery', 'management']}>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1421 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-0010a7e866cd","POR-refinery","refinery","TENANT_MINE_INCOHERENT","unknown","sonasp","/admin/settings","administration","admin | management","admin | sonasp","","true","true","<ProtectedRoute requiredPermission={PERMISSIONS.SETTINGS_VIEW}>","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1098 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-0016ea5987a6","POR-collector","collector","MODULES_EXPLICITES_VIDES","collector","sonasp","/artisan-minier/paiements/historique","artisan_gold_market","customer | management","collector | comptoir | sonasp","","true","false","<ProtectedRoute>","REFUSE:role","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:555 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00182e45e1d4","POR-dgmg","dgmg","MODULES_EXPLICITES_VIDES","dgmg","dgmg","/dashboard/airport","dashboard","airport","airport","airport.operate","true","false","<ProtectedRoute allowedRoles={['airport']}>","REFUSE:module","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1815 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-0021d29d7ee3","POR-sonasp","management","PROFIL_INACTIF","unknown","sonasp","/achats/reglements","gold_purchases","customer | management | mine","mine | sonasp","mine.operate | sonasp.approve | sonasp.finance.execute | sonasp.finance.reconcile | sonasp.prepare | sonasp.workflow.read","true","false","<ProtectedRoute allowedRoles={['management', 'mine']} requiredAnyCapabilities={MINE_RELATION_READ_CAPABILITIES} >","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:805 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00233cd559c6","POR-collector","collector","CAPACITES_EXPLICITES_VIDES","unknown","sonasp","/achats/comptes-paiements","gold_purchases","management","sonasp","","false","true","<ProtectedRoute>","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:827 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-00372a51b4dc","POR-comptoir","comptoir","CAPACITES_EXPLICITES_VIDES","unknown","comptoir","/artisan-minier/:artisanId/infractions/nouvelle","artisan-minier","management","sonasp","","false","true","<ProtectedRoute>","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:573 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
"DRT-0037fbc55945","POR-mine","mine","TENANT_MINE_INCOHERENT","unknown","sonasp","/shipping/preparation/:id/details","shipping","airport | customer | factory | management | mine","airport | factory | mine | sonasp","","true","false","<ProtectedRoute>","REFUSE:unknown-profile","NON EXÉCUTÉ","NON EXÉCUTÉ","À TESTER","Fonction pure evaluatePrivateRouteAccess exécutée localement sur profil artificiel en mémoire; aucun compte réel/session/API","src/PrivateApp.tsx:1302 | src/components/auth/ProtectedRoute.tsx | src/lib/capabilities.ts | src/lib/routeAccessRegistry.ts","N’est pas une preuve des gardes JSX, AAL2, RLS, RPC, Storage ni des actions métier; résultats frontend à confirmer dans chaque session autorisée","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe"
