"id","portail_id","portail_libelle","role","organisation","module_id","module_code","module_libelle","routes","donnees_visibles","theme","responsable_propose","sources","nb_routes_candidates","niveau_preuve","statut","test_ui","baseline","version_source","limite"
"PM-admin-artisan_gold_market","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-artisan_gold_market","artisan_gold_market","Marché d’or artisanal","/artisan-minier/paiements | /artisan-minier/paiements/:venteId/nouveau | /artisan-minier/paiements/historique | /artisan-minier/paiements/historique/:paiementId | /artisan-minier/rapports | /artisan-minier/rapports/chiffre-affaires | /artisan-minier/rapports/quantites | /artisan-minier/rapports/taxes | /artisan-minier/ventes-or | /artisan-minier/ventes-or/:id | /artisan-minier/ventes-or/:id/facture | /artisan-minier/ventes-or/:id/modifier | /artisan-minier/ventes-or/nouvelle | /collecte/ventes | /collecte/ventes/nouvelle","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot marché artisanal et paiements","src/PrivateApp.tsx:330 | src/PrivateApp.tsx:331 | src/PrivateApp.tsx:492 | src/PrivateApp.tsx:501 | src/PrivateApp.tsx:510 | src/PrivateApp.tsx:519 | src/PrivateApp.tsx:528 | src/PrivateApp.tsx:537 | src/PrivateApp.tsx:546 | src/PrivateApp.tsx:555 | src/PrivateApp.tsx:564 | src/PrivateApp.tsx:591 | src/PrivateApp.tsx:600 | src/PrivateApp.tsx:609 | src/PrivateApp.tsx:618 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","15","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-artisan-minier","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-artisan-minier","artisan-minier","Artisans miniers","/artisan-minier | /artisan-minier/:artisanId/infractions/:infractionId | /artisan-minier/:artisanId/infractions/:infractionId/modifier | /artisan-minier/:artisanId/infractions/nouvelle | /artisan-minier/:id | /artisan-minier/:id/edit | /artisan-minier/cartes/expirations | /artisan-minier/cartes/suivi | /artisan-minier/cartes/validation | /artisan-minier/collecteurs | /artisan-minier/collecteurs/:id | /artisan-minier/collecteurs/:id/modifier | /artisan-minier/collecteurs/nouveau | /artisan-minier/comptoirs | /artisan-minier/comptoirs/:id | /artisan-minier/comptoirs/:id/modifier | /artisan-minier/comptoirs/nouveau | /artisan-minier/liste","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot artisans et affiliations","src/PrivateApp.tsx:322 | src/PrivateApp.tsx:323 | src/PrivateApp.tsx:324 | src/PrivateApp.tsx:325 | src/PrivateApp.tsx:326 | src/PrivateApp.tsx:327 | src/PrivateApp.tsx:328 | src/PrivateApp.tsx:329 | src/PrivateApp.tsx:429 | src/PrivateApp.tsx:438 | src/PrivateApp.tsx:447 | src/PrivateApp.tsx:456 | src/PrivateApp.tsx:465 | src/PrivateApp.tsx:474 | src/PrivateApp.tsx:483 | src/PrivateApp.tsx:573 | src/PrivateApp.tsx:582 | src/PrivateApp.tsx:627 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","18","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-mining_sites","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-mining_sites","mining_sites","Sites artisanaux","/artisan-sites | /artisan-sites/:siteId | /artisan-sites/:siteId/modifier | /artisan-sites/nouveau | /artisan-sites/production","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot sites artisanaux","src/PrivateApp.tsx:744 | src/PrivateApp.tsx:753 | src/PrivateApp.tsx:754 | src/PrivateApp.tsx:763 | src/PrivateApp.tsx:772 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","5","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-admin-public-et-alias","POR-admin","Administrateur","admin","Profil et organisation autoritatifs; aucun tenant choisi par UI","LOT-public-et-alias","public-et-alias","public-et-alias","/admin/refineries | /admin/refineries/edit/:id | /admin/refineries/new | /admin/transport-companies | /admin/transport-companies/edit/:id | /admin/transport-companies/new | /admin/users | /admin/users/:userId/permissions | /audit | /sonasp/cessions-comptoirs","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","admin; primary=#00513D; sidebar=#10352F; prescrit=true","Lot public-et-alias","src/PrivateApp.tsx:1049 | src/PrivateApp.tsx:1058 | src/PrivateApp.tsx:1116 | src/PrivateApp.tsx:1125 | src/PrivateApp.tsx:1134 | src/PrivateApp.tsx:1143 | src/PrivateApp.tsx:1152 | src/PrivateApp.tsx:1161 | src/PrivateApp.tsx:1788 | src/PrivateApp.tsx:392 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","10","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-collector-artisan_gold_market","POR-collector","Agent collecteur","collector","organization_id/rattachements autorisés; 2 organismes à tester","LOT-artisan_gold_market","artisan_gold_market","Marché d’or artisanal","/artisan-minier/paiements/:venteId/nouveau | /artisan-minier/paiements/historique | /artisan-minier/paiements/historique/:paiementId | /artisan-minier/rapports/taxes | /artisan-minier/ventes-or | /artisan-minier/ventes-or/:id | /collecte/ventes | /collecte/ventes/nouvelle","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","collector; primary=#8B431F; sidebar=#402B25; prescrit=true","Lot marché artisanal et paiements","src/PrivateApp.tsx:330 | src/PrivateApp.tsx:331 | src/PrivateApp.tsx:492 | src/PrivateApp.tsx:510 | src/PrivateApp.tsx:546 | src/PrivateApp.tsx:555 | src/PrivateApp.tsx:564 | src/PrivateApp.tsx:618 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","8","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-collector-artisan-minier","POR-collector","Agent collecteur","collector","organization_id/rattachements autorisés; 2 organismes à tester","LOT-artisan-minier","artisan-minier","Artisans miniers","/artisan-minier/:id | /artisan-minier/collecteurs | /artisan-minier/collecteurs/:id | /artisan-minier/liste","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","collector; primary=#8B431F; sidebar=#402B25; prescrit=true","Lot artisans et affiliations","src/PrivateApp.tsx:322 | src/PrivateApp.tsx:323 | src/PrivateApp.tsx:438 | src/PrivateApp.tsx:456 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","4","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-collector-portal-collector","POR-collector","Agent collecteur","collector","organization_id/rattachements autorisés; 2 organismes à tester","LOT-portal-collector","portal-collector","portal-collector","/portail-collecteur | /portail-collecteur/documents | /portail-collecteur/stock","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","collector; primary=#8B431F; sidebar=#402B25; prescrit=true","Lot portal-collector","src/PrivateApp.tsx:332 | src/PrivateApp.tsx:342 | src/PrivateApp.tsx:352 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-comptoir-artisan_gold_market","POR-comptoir","Comptoir","comptoir","organization_id/rattachements autorisés; 2 organismes à tester","LOT-artisan_gold_market","artisan_gold_market","Marché d’or artisanal","/artisan-minier/paiements | /artisan-minier/paiements/:venteId/nouveau | /artisan-minier/paiements/historique | /artisan-minier/paiements/historique/:paiementId | /artisan-minier/rapports | /artisan-minier/rapports/chiffre-affaires | /artisan-minier/rapports/quantites | /artisan-minier/rapports/taxes | /artisan-minier/ventes-or | /artisan-minier/ventes-or/:id | /artisan-minier/ventes-or/:id/facture | /artisan-minier/ventes-or/:id/modifier | /artisan-minier/ventes-or/nouvelle | /collecte/ventes","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","comptoir; primary=#284972; sidebar=#202F46; prescrit=true","Lot marché artisanal et paiements","src/PrivateApp.tsx:330 | src/PrivateApp.tsx:492 | src/PrivateApp.tsx:501 | src/PrivateApp.tsx:510 | src/PrivateApp.tsx:519 | src/PrivateApp.tsx:528 | src/PrivateApp.tsx:537 | src/PrivateApp.tsx:546 | src/PrivateApp.tsx:555 | src/PrivateApp.tsx:564 | src/PrivateApp.tsx:591 | src/PrivateApp.tsx:600 | src/PrivateApp.tsx:609 | src/PrivateApp.tsx:618 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","14","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-comptoir-artisan-minier","POR-comptoir","Comptoir","comptoir","organization_id/rattachements autorisés; 2 organismes à tester","LOT-artisan-minier","artisan-minier","Artisans miniers","/artisan-minier/:id | /artisan-minier/collecteurs | /artisan-minier/collecteurs/:id | /artisan-minier/liste","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","comptoir; primary=#284972; sidebar=#202F46; prescrit=true","Lot artisans et affiliations","src/PrivateApp.tsx:322 | src/PrivateApp.tsx:323 | src/PrivateApp.tsx:438 | src/PrivateApp.tsx:456 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","4","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
"PM-comptoir-portal-comptoir","POR-comptoir","Comptoir","comptoir","organization_id/rattachements autorisés; 2 organismes à tester","LOT-portal-comptoir","portal-comptoir","portal-comptoir","/portail-comptoir | /portail-comptoir/stock | /portail-comptoir/ventes-sonasp","Périmètre candidat du registre frontend; RLS/RPC et permissions effectives NON vérifiés","comptoir; primary=#284972; sidebar=#202F46; prescrit=true","Lot portal-comptoir","src/PrivateApp.tsx:362 | src/PrivateApp.tsx:372 | src/PrivateApp.tsx:382 | src/components/layout/portalThemes.ts | src/lib/platformModuleCatalog.ts | src/lib/routeAccessRegistry.ts","3","DETECTION_AUTOMATIQUE; identité des 13 types relue statiquement; couples modules non audités","À INVENTORIER","NON EXÉCUTÉ","83f8c74e","83f8c74ea83c81a2734ef9e086c2edd211573ebe","Association de politique ≠ accès réel; admin module_codes et Owner transversal hors liste brute; aucune validation UI/serveur"
