"id","formulaire","champ","nature","variante","libelle","controle_id","obligation_enregistrement","payload","rpc_service","stockage","transformation_relation","restitution_detail","ecart_detail","source_ui_candidat","source_payload_candidat","source_stockage_candidat","source_detail_candidat","statut","source_baseline","source_version_candidat","candidate_commit"
"MAP-SITE-name","SITE","name","SAISIE_METIER","Création et modification","Nom du site","Sans id explicite ; label englobant","Requis","p_site.name","snp_save_artisanal_site","artisanal_sites.name","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:454","src/services/artisanalSiteService.ts:41","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:61","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:454 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-status","SITE","status","SAISIE_METIER","Création et modification","Statut","name=site-status","Requis ; planned par défaut","p_site.status","snp_save_artisanal_site","artisanal_sites.status","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:468","src/services/artisanalSiteService.ts:42","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:68","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:468 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-formalization","SITE","formalization","SAISIE_METIER","Création et modification","Catégorie du site","name=formalization","Requis","p_site.formalization","snp_save_artisanal_site","artisanal_sites.formalization","formalized / non_formalized ; branche non formalisée efface les références AEA côté payload/trigger.","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:490","src/services/artisanalSiteService.ts:48","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:67","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:490 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-region","SITE","region","SAISIE_METIER","Création et modification","Région","Sans id explicite ; label englobant","Requis","p_site.region","snp_save_artisanal_site","artisanal_sites.region","Le changement de région efface province/localité ; clic carte renseigne région/province/GPS.","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:547","src/services/artisanalSiteService.ts:43","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:62","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:547 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-province","SITE","province","SAISIE_METIER","Création et modification","Province","Sans id explicite ; label englobant","Requis","p_site.province","snp_save_artisanal_site","artisanal_sites.province","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:558","src/services/artisanalSiteService.ts:44","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:62","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:558 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-locality","SITE","locality","SAISIE_METIER","Création et modification","Localité","Sans id explicite ; label englobant","Requis","p_site.locality","snp_save_artisanal_site","artisanal_sites.locality","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:566","src/services/artisanalSiteService.ts:45","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:62","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:566 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-areaHectares","SITE","areaHectares","SAISIE_METIER","Création et modification","Superficie (hectares)","Sans id explicite ; label englobant","Requis ; > 0","p_site.area_hectares","snp_save_artisanal_site","artisanal_sites.area_hectares","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:593","src/services/artisanalSiteService.ts:154","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:81","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:593 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-latitude","SITE","latitude","SAISIE_METIER","Création et modification","Latitude","Sans id explicite ; label englobant","Requis ; 9 à 16","p_site.latitude","snp_save_artisanal_site","artisanal_sites.latitude","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:596","src/services/artisanalSiteService.ts:60","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:81","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:596 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-longitude","SITE","longitude","SAISIE_METIER","Création et modification","Longitude","Sans id explicite ; label englobant","Requis ; -6 à 3","p_site.longitude","snp_save_artisanal_site","artisanal_sites.longitude","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:599","src/services/artisanalSiteService.ts:61","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:81","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:599 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
"MAP-SITE-authorizedMiners","SITE","authorizedMiners","SAISIE_METIER","Création et modification","Artisans autorisés","Sans id explicite ; label englobant","Requis ; entier >= 0","p_site.authorized_miners","snp_save_artisanal_site","artisanal_sites.authorized_miners","","RESTITUE_STATIQUEMENT","","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:618","src/services/artisanalSiteService.ts:159","supabase/migrations/20260906093115_sites_artisanaux_formalisation_aea.sql:111","src/pages/artisanal-sites/ArtisanalSiteDetails.tsx:69","A_CONTROLER — correspondance statique relue ; UI_API_BASE_NON_EXECUTE","83f8c74e:src/pages/artisanal-sites/ArtisanalSiteForm.tsx:618 (texte identique)","a6c3b13953a9b7bbca0df50b26379a8938e90bef4579a05ab8fb332c971e2345","07ffc71ab9e1320df845694736a3f5af88141431"
