"id_lot","fichiers_regle","ids_inventaire_associes","nombre_lignes_associees","portails_candidats","methode","preuve_regle","recette_ui_base"
"SITE-F01","src/pages/artisanal-sites/ArtisanalSiteForm.tsx | src/services/artisanalSiteService.ts","ACT-6592fbd4c891 | ACT-8116a72c2721 | ACT-92da7165f738 | ACT-b9fa5efcc1cf | ACT-c414c139b37c | ACT-f045910095e1 | FRM-12b443c57756 | FRM-8c14aab2ee6a | FRM-9618b877725e | FRM-e0453531a1c8","10","admin | dgmg | owner","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"SITE-V01","src/pages/artisanal-sites/ArtisanalSiteForm.tsx | src/services/artisanalSiteService.ts","ACT-6592fbd4c891 | ACT-8116a72c2721 | ACT-92da7165f738 | ACT-b9fa5efcc1cf | ACT-c414c139b37c | ACT-f045910095e1 | FRM-12b443c57756 | FRM-8c14aab2ee6a | FRM-9618b877725e | FRM-e0453531a1c8","10","admin | dgmg | owner","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-F01","src/components/artisan/ArtisanMinierForm.tsx | src/lib/artisanDossier.ts","ACT-2ef48f623c7a | ACT-3ddbc675bbfc | ACT-556ca258ebf0 | ACT-5d9833eb928e | ACT-7886bdf9a738 | ACT-81d6d4fb460a | ACT-8bdf185e8afa | ACT-a8dc2031ee3f | ACT-c018afc8cf53 | ACT-dbb018031a90 | ACT-f9cf741cdef5 | FRM-a46e55c07841 | FRM-cf6b7e8e7ab1","13","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-V01","src/lib/artisanDossier.ts","","0","","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-V02","src/lib/artisanDossier.ts","","0","","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-V03","src/lib/artisanDossier.ts | src/services/artisanDossierService.ts","","0","","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-S01","src/components/artisan/ArtisanMinierForm.tsx","ACT-2ef48f623c7a | ACT-3ddbc675bbfc | ACT-556ca258ebf0 | ACT-5d9833eb928e | ACT-7886bdf9a738 | ACT-81d6d4fb460a | ACT-8bdf185e8afa | ACT-a8dc2031ee3f | ACT-c018afc8cf53 | ACT-dbb018031a90 | ACT-f9cf741cdef5 | FRM-a46e55c07841 | FRM-cf6b7e8e7ab1","13","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-S02","src/components/artisan/ArtisanMinierForm.tsx","ACT-2ef48f623c7a | ACT-3ddbc675bbfc | ACT-556ca258ebf0 | ACT-5d9833eb928e | ACT-7886bdf9a738 | ACT-81d6d4fb460a | ACT-8bdf185e8afa | ACT-a8dc2031ee3f | ACT-c018afc8cf53 | ACT-dbb018031a90 | ACT-f9cf741cdef5 | FRM-a46e55c07841 | FRM-cf6b7e8e7ab1","13","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"COL-F01","src/lib/collectorDossier.ts | src/pages/collector/CollectorForm.tsx","ACT-09be8306c1cc | ACT-6907e3f83f1e | ACT-858529106e14 | ACT-8e2e4b03739f | ACT-9488e9d675e3 | ACT-9ff2993f3403 | ACT-c609c442bc61 | ACT-e6aefffaa21b | FRM-2db1b98950e7 | FRM-cb7d88bed5f6 | FRM-de7504c50b05","11","admin | dgmg | owner","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"COL-S01","src/pages/collector/CollectorsPage.tsx | src/services/collectorService.ts","ACT-2534850da75f | ACT-51c10b799514 | ACT-b3d3d6639d4a | ACT-f9ccc113c895 | ACT-faec9b88d510 | CMP-f1c387d2ce42","6","admin | collector | comptoir | dgmg | owner | sonasp","CORRESPONDANCE_FICHIERS_SOURCES; pas une revue de chaque action associee","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
