"id_lot","famille","nature","routes_ou_hote","composant","regles_et_champs_existants","ecriture","relecture","sources","niveau_preuve","recette_ui_base"
"SITE-F01","Site artisanal","FORMULAIRE_PARTAGE_CREATION_MODIFICATION","/artisan-sites/nouveau | /artisan-sites/:siteId/modifier","ArtisanalSiteForm","Nom; statut active/planned/suspended; localisation; superficie; capacité/effectif; profondeur; produits; GPS; photos; deux responsables; notes; type forcé artisanale","snp_save_artisanal_site; artisanal_sites; artisanal_site_assignments","ArtisanalSiteDetails via useArtisanalSiteData","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:332 | src/services/artisanalSiteService.ts:136","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"SITE-V01","Site artisanal","VARIANTE_CONDITIONNELLE","Site formalisé","ArtisanalSiteForm","AEA numéro/date émission/durée mois/document obligatoires; non_formalized sans AEA","siteAeaDocumentService.upload puis RPC site","Onglet AEA et documents","src/pages/artisanal-sites/ArtisanalSiteForm.tsx:489 | src/services/artisanalSiteService.ts:137","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-F01","Artisan","FORMULAIRE_PARTAGE_CREATION_MODIFICATION","/artisan-minier/liste formulaire intégré | /artisan-minier/:id/edit","ArtisanMinierForm","Qualité physique/morale; rôles existants; territoire; contacts; identité; pièces; photo; observations","snp_save_artisan_dossier; snp_artisans_miniers","ArtisanDossierSummary et ArtisanMinierDetails","src/components/artisan/ArtisanMinierForm.tsx:414 | src/lib/artisanDossier.ts:143","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-V01","Artisan","VARIANTE_CONDITIONNELLE","Personne physique","ArtisanDossierFields","Nom/date naissance/type numéro pièce requis; sexe M/F; prénoms et autres champs selon la validation existante","RPC dossier","ArtisanDossierSummary","src/lib/artisanDossier.ts:150","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-V02","Artisan","VARIANTE_CONDITIONNELLE","Personne morale","ArtisanDossierFields","Raison sociale/RCCM/IFU/siège requis; responsable distinct nom, prénoms, naissance, téléphone, fonction et pièce","RPC dossier + snp_artisan_responsables","ArtisanDossierSummary","src/lib/artisanDossier.ts:156","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-V03","Artisan","VARIANTE_CONDITIONNELLE","Aide exploitant","ArtisanDossierFields","Exploitant de rattachement requis et site hérité selon les relations; confirmation de transition","snp_search_exploitants; RPC dossier","ArtisanDossierSummary","src/lib/artisanDossier.ts:189 | src/services/artisanDossierService.ts:64","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-S01","Artisan","SOUS_FORMULAIRE_DOCUMENTS","ArtisanMinierForm physique/morale","ArtisanDocuments","Propriétaire artisan/société/responsable; justificatifs/photo; remplacement avec reprise","artisanDocumentService.upload/remove; passerelle de fichiers sensibles","ArtisanDossierSummary / liste de pièces","src/components/artisan/ArtisanMinierForm.tsx:488","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"ART-S02","Artisan","SOUS_FORMULAIRE_MOYENS_PAIEMENT","ArtisanMinierForm","ArtisanMinierForm","Type,titulaire,téléphone ou coordonnées bancaires; validation distincte habilitée","artisanMoyenPaiementService.remplacerPourArtisan/revue","Dossier et paiements","src/components/artisan/ArtisanMinierForm.tsx:377 | :475","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"COL-F01","Collecteur","FORMULAIRE_PARTAGE_CREATION_MODIFICATION","/artisan-minier/collecteurs/nouveau | /artisan-minier/collecteurs/:id/modifier","CollectorForm","Personne physique; identité; contacts; au moins un site; un organisme SONASP ou comptoir; pièces/photo","snp_save_collector; snp_artisans_miniers + collecteurs/sites","CollectorsPage + CollectorDetails","src/lib/collectorDossier.ts:72 | src/pages/collector/CollectorForm.tsx:301","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"COL-S01","Collecteur","SOUS_FORMULAIRE_DELEGATION","/artisan-minier/collecteurs/:id","CollectorsPage","Date de fin d’autorisation et motif; révocation; capacité et organisme contrôlés serveur","snp_collector_set_payment_authorization","CollectorDetails","src/pages/collector/CollectorsPage.tsx:136 | src/services/collectorService.ts:124","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
"COM-F01","Comptoir","FORMULAIRE_PARTAGE_CREATION_MODIFICATION_LECTURE","/artisan-minier/comptoirs/nouveau | /:id | /:id/modifier","ComptoirDossierForm","Société; immatriculation/fiscalité; autorisation d’achat; adresse; premier responsable; 33 clés existantes","snp_save_comptoir_dossier; organizations; dossier comptoir","Même composant readOnly après service.get","src/lib/comptoirDossier.ts:48 | src/pages/collector/ComptoirForm.tsx:471","REVUE_STATIQUE_CIBLEE","NON_EXECUTE"
