"id_controle","ecran_id","portee","statut","observation","preuve"
"PRES-CLI-001","ECR-fb78963058ff","Affichage liste desktop 1536x1024","REUSSI_PRESENTATION","25 fixtures visibles; pas de débordement horizontal du document mesuré","01-liste-desktop.png"
"PRES-CLI-002","ECR-fb78963058ff","Recherche par nom","REUSSI_PRESENTATION","Atlas donne 1 résultat et compteurs filtrés cohérents","Trace CUA"
"PRES-CLI-003","ECR-fb78963058ff","Pays et onglet statut","REUSSI_PRESENTATION","Ghana donne6 résultats puis Actif2 donne2 lignes; réinitialisation observée","Trace CUA"
"PRES-CLI-004","ECR-fb78963058ff","Pagination et taille de page","REUSSI_PRESENTATION","11–20 puis21–25; Suivant désactivé au bout; choix25 affiche25 lignes","02-liste-pagination-desktop.png"
"PRES-CLI-005","ECR-57a476684b9a","Champs requis et focus","REUSSI_PRESENTATION","Six erreurs FR, focus premier champ, aria-invalid et describedby présents","03-creation-erreurs-requis-desktop.png"
"PRES-CLI-006","ECR-57a476684b9a","Saisie des dix champs client","REUSSI_PRESENTATION","Tous saisis/modifiés; crédit0 visible en création seulement","Trace CUA"
"PRES-CLI-007","FRM-3b57c7a1b9b7","Banque personnalisée","REUSSI_PRESENTATION","Champ Autre reste visible après Q puis nom complet; champs bancaires saisis","05-creation-banque-desktop.png"
"PRES-CLI-008","FRM-3b57c7a1b9b7","Ajout retrait et banque principale","REUSSI_PRESENTATION","Deuxième banque ajoutée/définie principale/retirée; première conservée et principale","05-creation-banque-desktop.png"
"PRES-CLI-009","ECR-57a476684b9a","Soumission dans banc sans persistance","REFUS_ATTENDU_BANC","Dialogue explicite aucune persistance; valeurs conservées après OK; pas de réussite métier","04-creation-refus-persistance-desktop.png"
"PRES-CLI-010","ECR-57a476684b9a","Annulation avec modifications","PARTIEL_OUTIL_BLOQUE","Confirmation JS observée; acceptation/refus/destination non attestés","Trace CUA"
"PRES-CLI-011","ECR-4c59694d6d6f","Détail banques agrégats et lien vente","NON_EXECUTE","Reprise attendue sur IAB du coordinateur",""
"PRES-CLI-012","ECR-90c316e4268e","Chargement édition et conservation crédit0","NON_EXECUTE","Ne pas confondre crédit0 saisi en création avec chargement édition",""
"PRES-CLI-013","ECR-fb78963058ff","État vide","NON_EXECUTE","Mode empty non visité",""
"PRES-CLI-014","ECR-fb78963058ff","Erreur chargement","NON_EXECUTE","Mode error non visité",""
"PRES-CLI-015","ECR-4c59694d6d6f","Erreur ventes","NON_EXECUTE","Mode sales-error non visité",""
"PRES-CLI-016","ECR-fb78963058ff","Mobile390x844 liste formulaire détail","NON_EXECUTE","Aucune preuve mobile par ce sous-agent",""
"PRES-CLI-017","ECR-57a476684b9a","Zoom navigateur200%","NON_EXECUTE","Aucune preuve zoom; ne pas assimiler redimensionnement au zoom",""
"PRES-CLI-018","ECR-fb78963058ff","Console avertissements et erreurs","PARTIEL","Liste initiale renvoie tableau vide; fin parcours non relevée","Trace CUA"
"PRES-CLI-019","ECR-fb78963058ff","Filtres URL retour détail et dernière stabilisation","NON_EXECUTE","HMR désactivé; rechargement dernière version impossible après blocage",""
